idx,file,algo,k,n_clusters,score_composite,silhouette,calinski,davies,dunn,estabilidade,tempo,aic,bic
0,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0000__kmeans_k4.parquet,kmeans,4,4,0.5411253841526455,0.2801455689908449,211050.0416177286,1.0996942613602645,0.02163850004324462,,1.3321572999993805,,
1,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0001__kmeans_k5.parquet,kmeans,5,5,0.6667526785469972,0.23291069313041327,193153.8686434848,1.2082834313622883,0.051335951624411805,,1.9400370000003022,,
2,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0002__kmeans_k6.parquet,kmeans,6,6,0.5550537412261369,0.23689930315320407,175630.63431859322,1.2197107978178903,0.046486342912237126,,2.0690029000033974,,
3,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0003__kmeans_k7.parquet,kmeans,7,7,0.4125149200784266,0.23287401714887696,165474.56456329013,1.2037411421035138,0.04006105223180202,,2.74899860000005,,
4,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0004__minibatchkmeans_k4.parquet,minibatchkmeans,4,4,0.9189958195296657,0.277072911494775,210612.3338493858,1.1049733989341717,0.050239132091416165,,0.178944400002365,,
5,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0005__minibatchkmeans_k5.parquet,minibatchkmeans,5,5,0.549625689358416,0.2540113719067831,182990.20795010385,1.242845168470875,0.034510121509402046,,0.15853419999984908,,
6,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0006__minibatchkmeans_k6.parquet,minibatchkmeans,6,6,0.21866221369560976,0.23048610859131213,172825.5922469287,1.2502839635142662,0.014707627440576833,,0.16625130000102217,,
7,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0007__minibatchkmeans_k7.parquet,minibatchkmeans,7,7,0.35301775519134176,0.21328381140161037,158544.41094361647,1.2921905272764274,0.034281705938667334,,0.1603663999994751,,
8,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0008__gmm_k4.parquet,gmm,4,4,-0.9443581881835795,0.06659496814333214,59924.03567631148,2.062286439247192,0.03396046135729464,,8.505584599999565,7163027.74069244,7163585.090202636
9,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0009__gmm_k5.parquet,gmm,5,5,-0.9944154074003428,0.053673549332271545,57720.29674705168,2.1713239704185585,0.018226651913894575,,4.6663911000032385,7062606.263343217,7063305.682336404
10,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0010__gmm_k6.parquet,gmm,6,6,-1.1593283737107525,0.01869218079663172,50442.08383468553,2.6055127158640303,0.01848555164070662,,4.537683099999413,6961718.454723282,6962559.94319946
11,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_152754\tables\labels_all_models\0011__gmm_k7.parquet,gmm,7,7,-1.1176462324845668,0.023642365752082013,48736.03089352709,2.6655443653431012,0.021345751142176014,,4.818496399999276,6908400.34070538,6909383.898664549
